0	2.7317196E-4 88 89 110 111 112 113 114 115 116 90 117 91 118 92 119 93 94 95 96 97 98 10 99 11 12 13 14 15 16 17 18 19 120 121 122 123 124 4 125 5 126 127 7 128 8 129 9 20 21 22 23 24 25 26 27 28 29 130 131 132 133 134 135 136 137 138 139 30 31 32 33 34 35 36 37 38 39 140 141 142 40 41 42 43 44 45 46 47 48 49 799 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 100 101 102 103 104 105 106 80 107 81 108 82 109 83 84 85 86 87
1	6.2888506E-4 1582 1460 592 350 351 352 110 353 232 475 354 233 355 113 356 235 357 236 358 237 359 118 119 10 11 16 4067 17 360 361 362 120 363 364 365 123 3 366 4 367 5 2675 368 369 127 128 5269 20 21 24 25 27 28 29 3540 370 371 372 373 374 375 254 133 376 377 378 136 379 137 1233 1111 30 31 33 34 39 380 381 382 383 384 1249 386 387 1247 388 389 3422 704 947 40 43 46 48 3440 390 391 2470 392 393 394 395 396 397 398 399 1014 159 2464 10731 54 58 283 1029 169 1024 723 725 61 727 728 63 65 66 67 68 295 297 735 1718 71 19889 738 74 75 77 78 2144 1173 185 860 2256 1167 4313 625 81 82 83 85 86 87 8498 3483 193 1181 994 1179 90 5412 91 92 516 93 96 98 6401 1075 2040 1620 400 401 2036 402 766 645 403 404 405 406 649 407 408 409 1747 4903 1514 410 1510 411 412 413 2046 414 415 416 417 418 419 2605 1516 8842 2065 420 663 421 300 1642 422 1520 423 424 546 425 789 426 427 549 428 429 2867 1778 550 430 2744 2502 431 310 432 311 1532 433 312 555 434 313 435 314 436 315 437 316 438 317 439 318 319 3174 440 441 320 2634 684 563 442 321 4939 443 322 565 444 323 445 324 446 325 689 447 326 205 448 327 449 328 329 450 451 330 4706 694 452 331 210 453 332 454 576 334 335 336 215 337 338 339 3854 4703 1438 4041 1572 340 11779 341 342 2656 343 222 101 586 344 102 345 346 225 104 347 105 348 4950 349 107 1207
10	2.476235E-4 88 1187 1186 1185 1184 1183 1182 1181 1180 110 233 354 993 1179 1178 90 117 1177 998 92 98 1190 11 12 18 1192 1191 1 2 124 367 4 401 369 402 1189 766 1188 7 9 408 409 24 71389 27 29 411 414 415 418 30 31 35 38 141 384 385 783 663 301 664 302 545 426 549 43 44 48 395 550 312 433 555 436 712 559 50 319 51 165 1027 1026 721 965 449 61 727 728 729 65 66 69 730 335 852 611 974 612 733 72 979 73 74 78 1176 1175 1174 1173 1172 1171 1170 100 102 344 586 103 345 620 1169 104 1168 1167 1166 625 83 627
100	3.2623415E-4 88 89 71403 5660 5661 5662 5663 1186 192 1181 353 597 751 235 357 237 2421 1574 117 93 879 5658 639 5659 97 4208 1219 10 98 917 12 19 1110 2561 120 2317 122 4739 2 123 2710 4 367 5 368 401 6 402 249 403 408 1747 21 22 26 27 28 1120 1361 890 2449 257 653 4908 138 413 414 812 2729 418 30 38 1253 2062 383 2218 782 783 784 664 546 669 43 48 550 1019 551 2744 794 553 1258 555 2862 2741 1014 434 954 437 5612 50 319 51 2508 1815 2902 1933 55 1032 1152 683 1027 443 2511 961 444 721 447 326 723 449 61 727 1308 728 1306 5640 296 331 333 1313 1312 730 2367 611 2487 1552 1310 3454 217 734 75 76 4560 2265 1572 582 340 2933 1206 221 102 1324 103 345 588 104 1167 106 1166 107 624 108 625 109 748 627
1000	9.433276E-5 22 16675 16674 16673 3462 2251 195 295 693 135 1379 2147 973 852 2025 1574 634 90 1111 2709 7714 12453 737 639 10498 5659 5417 9750 3431 3352 2042 1293 682 10700 1985 1589 663 2336 2412 1268 2554 2552 768 6878 3687 847 849 1009
10000	2.7513723E-5 4040 9646 7590 394 141 1304 1179 128 1719 3984 1619 5514 737 64
10001	1.3756861E-5 972 7445 2042 639 24954 395 3637
10002	1.0219383E-4 909 6795 2232 3285 47619 4969 2227 2821 2865 1177 13960 4128 10498 918 5273 6561 18 1274 10939 1394 1471 7250 10703 1268 5908 4411 5941 8217 849 2318 12007 4030 7301 3062 1712 135 1753 1433 852 854 1430 1918 735 5952 737 5131 8363 3276 143 860 663 1401
10003	1.1791595E-5 3717 1741 2025 1914 3723 395
10004	1.965266E-6 395
10005	3.930532E-6 401 395
10006	1.965266E-6 395
10007	3.930532E-6 655 395
10008	3.930532E-6 1561 395
10009	1.965266E-6 395
1001	4.9131646E-5 22 2792 590 195 492 155 375 975 8647 1979 74 34 79 19 2042 1293 340 1206 168 1169 1761 645 846 903 1647
10010	3.930532E-6 395 2637
10011	2.358319E-5 1008 4030 2338 5818 7696 1024 965 3582 849 2370 581 395
10012	3.930532E-6 849 395
10013	1.9652658E-5 6144 125 1179 1440 1719 9504 738 1516 295 395
10014	1.5722128E-5 883 5100 3179 3255 22551 4700 3678 395
